iter	RMSE
0	0.928804968
1	0.8657190649
2	0.8128220319
3	0.7635747531
4	0.7225013937
5	0.6838295827
6	0.6484395409
7	0.6180461842
8	0.5913399478
9	0.5677449933
10	0.5476242406
11	0.5290057963
12	0.5135427098
13	0.4993595094
14	0.4886893622
15	0.4779878785
16	0.4686881669
17	0.4603060694
18	0.4545309894
19	0.4497435858
20	0.4441134325
21	0.4395554749
22	0.4349951652
23	0.4314119868
24	0.4286819225
25	0.4262952605
26	0.4240671541
27	0.4216615152
28	0.4190368631
29	0.417483823
30	0.4165376645
31	0.4151578868
32	0.4134651832
33	0.4121633634
34	0.4109565617
35	0.4099444263
36	0.4093580165
37	0.4086001452
38	0.4080488275
39	0.4067952292
40	0.4058248006
41	0.4052979197
42	0.4047087109
43	0.4043319005
44	0.403164124
45	0.4021277411
46	0.4017945948
47	0.4014615622
48	0.4010516405
49	0.4003803524
