iter	Passed	Remaining
0	4	3998
1	6	3308
2	8	2968
3	11	2767
4	12	2389
5	15	2488
6	17	2522
7	19	2450
8	21	2402
9	23	2302
10	25	2325
11	27	2295
12	29	2262
13	32	2277
14	33	2178
15	35	2178
16	37	2164
17	38	2098
18	40	2092
19	42	2102
20	44	2089
21	47	2089
22	49	2082
23	50	2035
24	52	2030
25	53	2011
26	55	2008
27	56	1976
28	58	1971
29	60	1965
30	62	1962
31	64	1958
32	65	1931
33	67	1928
34	69	1913
35	72	1936
36	75	1953
37	81	2051
38	82	2025
39	83	1999
40	85	1999
41	86	1968
42	88	1964
43	89	1953
44	92	1967
45	95	1977
46	97	1976
47	99	1971
48	101	1969
49	103	1966
50	105	1959
51	107	1960
52	110	1972
53	112	1971
54	113	1957
55	115	1954
56	118	1952
57	119	1946
58	121	1942
59	124	1946
60	126	1949
61	128	1944
62	130	1939
63	132	1939
64	134	1934
65	136	1928
66	138	1929
67	140	1929
68	142	1924
69	144	1919
70	146	1915
71	148	1910
72	150	1905
73	151	1900
74	153	1899
75	156	1898
76	158	1894
77	159	1889
78	161	1885
79	163	1883
80	165	1881
81	167	1879
82	168	1866
83	171	1868
84	172	1856
85	174	1853
86	175	1840
87	176	1833
88	178	1827
89	180	1825
90	182	1823
91	184	1818
92	186	1817
93	187	1811
94	189	1805
95	191	1804
96	193	1805
97	196	1812
98	199	1813
99	200	1808
100	203	1809
101	204	1802
102	206	1801
103	209	1804
104	211	1805
105	213	1804
106	216	1809
107	219	1809
108	221	1808
109	223	1808
110	226	1811
111	228	1808
112	230	1813
113	233	1815
114	235	1815
115	238	1814
116	240	1813
117	242	1811
118	244	1810
119	250	1834
120	252	1833
121	254	1831
122	256	1830
123	259	1830
124	261	1831
125	264	1833
126	268	1843
127	270	1841
128	271	1831
129	272	1825
130	275	1824
131	277	1824
132	279	1821
133	283	1829
134	285	1829
135	287	1827
136	289	1825
137	291	1818
138	293	1816
139	295	1812
140	297	1812
141	300	1814
142	302	1810
143	304	1807
144	306	1807
145	309	1809
146	311	1808
147	313	1804
148	315	1801
149	317	1800
150	319	1798
151	322	1797
152	324	1796
153	326	1795
154	329	1795
155	331	1792
156	333	1793
157	336	1791
158	338	1789
159	340	1786
160	342	1786
161	344	1784
162	347	1785
163	349	1783
164	351	1780
165	354	1779
166	357	1782
167	359	1782
168	362	1780
169	364	1778
170	366	1776
171	368	1773
172	370	1770
173	373	1771
174	375	1770
175	378	1770
176	380	1767
177	385	1778
178	387	1777
179	389	1775
180	391	1773
181	393	1770
182	395	1767
183	397	1764
184	399	1761
185	403	1764
186	405	1761
187	407	1758
188	409	1757
189	411	1753
190	413	1752
191	416	1751
192	419	1753
193	421	1750
194	423	1748
195	425	1745
196	427	1743
197	429	1740
198	431	1737
199	434	1736
200	436	1735
201	438	1732
202	440	1729
203	443	1730
204	445	1729
205	448	1727
206	450	1725
207	452	1722
208	454	1719
209	456	1717
210	458	1714
211	461	1715
212	464	1714
213	466	1714
214	468	1711
215	471	1709
216	473	1707
217	475	1704
218	477	1702
219	481	1707
220	484	1706
221	486	1704
222	488	1702
223	492	1704
224	494	1701
225	496	1701
226	503	1712
227	505	1711
228	508	1711
229	510	1710
230	513	1708
231	515	1706
232	517	1703
233	519	1700
234	521	1698
235	523	1694
236	526	1694
237	528	1692
